DateUTC,CountryCode,Value,Cov_ratio
2022-09-30 23:00:00,ES,21203.0,100
2022-09-30 23:00:00,PT,4804.1,100
2022-10-01 00:00:00,PT,4561.8,100
2022-10-01 00:00:00,ES,20409.0,100
2022-10-01 01:00:00,PT,4373.9,100
2022-10-01 01:00:00,ES,19958.0,100
2022-10-01 02:00:00,PT,4272.1,100
2022-10-01 02:00:00,ES,19715.0,100
2022-10-01 03:00:00,ES,19561.0,100
2022-10-01 03:00:00,PT,4191.5,100
2022-10-01 04:00:00,ES,20311.0,100
2022-10-01 04:00:00,PT,4192.0,100
2022-10-01 05:00:00,PT,4318.9,100
2022-10-01 05:00:00,ES,21318.0,100
2022-10-01 06:00:00,PT,4360.1,100
2022-10-01 06:00:00,ES,21977.0,100
2022-10-01 07:00:00,ES,23470.0,100
2022-10-01 07:00:00,PT,4747.0,100
2022-10-01 08:00:00,PT,4976.3,100
2022-10-01 08:00:00,ES,24384.0,100
2022-10-01 09:00:00,PT,5087.8,100
2022-10-01 09:00:00,ES,24380.0,100
2022-10-01 10:00:00,PT,5178.9,100
2022-10-01 10:00:00,ES,24518.0,100
2022-10-01 11:00:00,PT,5229.2,100
2022-10-01 11:00:00,ES,24692.0,100
2022-10-01 12:00:00,ES,24241.0,100
2022-10-01 12:00:00,PT,5060.2,100
2022-10-01 13:00:00,ES,23157.0,100
2022-10-01 13:00:00,PT,4953.2,100
2022-10-01 14:00:00,ES,22691.0,100
2022-10-01 14:00:00,PT,4868.5,100
2022-10-01 15:00:00,ES,22937.0,100
2022-10-01 15:00:00,PT,4892.3,100
2022-10-01 16:00:00,PT,4939.3,100
2022-10-01 16:00:00,ES,23209.0,100
2022-10-01 17:00:00,PT,5073.7,100
2022-10-01 17:00:00,ES,23658.0,100
2022-10-01 18:00:00,ES,25517.0,100
2022-10-01 18:00:00,PT,5449.8,100
2022-10-01 19:00:00,PT,5536.2,100
2022-10-01 19:00:00,ES,25452.0,100
2022-10-01 20:00:00,ES,23542.0,100
2022-10-01 20:00:00,PT,5306.4,100
2022-10-01 21:00:00,PT,5020.3,100
2022-10-01 21:00:00,ES,22032.0,100
2022-10-01 22:00:00,ES,20658.0,100
2022-10-01 22:00:00,PT,4680.6,100
2022-10-01 23:00:00,ES,19531.0,100
2022-10-01 23:00:00,PT,4378.5,100
2022-10-02 00:00:00,PT,4148.5,100
2022-10-02 00:00:00,ES,18914.0,100
2022-10-02 01:00:00,ES,18274.0,100
2022-10-02 01:00:00,PT,4000.4,100
2022-10-02 02:00:00,PT,3893.3,100
2022-10-02 02:00:00,ES,18111.0,100
2022-10-02 03:00:00,ES,18123.0,100
2022-10-02 03:00:00,PT,3837.3,100
2022-10-02 04:00:00,PT,3864.5,100
2022-10-02 04:00:00,ES,18539.0,100
2022-10-02 05:00:00,PT,3955.2,100
2022-10-02 05:00:00,ES,19085.0,100
2022-10-02 06:00:00,PT,3938.4,100
2022-10-02 06:00:00,ES,19197.0,100
2022-10-02 07:00:00,ES,20522.0,100
2022-10-02 07:00:00,PT,4170.1,100
2022-10-02 08:00:00,ES,21640.0,100
2022-10-02 08:00:00,PT,4484.8,100
2022-10-02 09:00:00,ES,22053.0,100
2022-10-02 09:00:00,PT,4724.3,100
2022-10-02 10:00:00,ES,22317.0,100
2022-10-02 10:00:00,PT,4879.7,100
2022-10-02 11:00:00,ES,22761.0,100
2022-10-02 11:00:00,PT,5005.9,100
2022-10-02 12:00:00,ES,22681.0,100
2022-10-02 12:00:00,PT,4794.9,100
2022-10-02 13:00:00,PT,4618.3,100
2022-10-02 13:00:00,ES,21624.0,100
2022-10-02 14:00:00,ES,21263.0,100
2022-10-02 14:00:00,PT,4580.3,100
2022-10-02 15:00:00,ES,21393.0,100
2022-10-02 15:00:00,PT,4584.4,100
2022-10-02 16:00:00,ES,21894.0,100
2022-10-02 16:00:00,PT,4698.7,100
2022-10-02 17:00:00,PT,4917.3,100
2022-10-02 17:00:00,ES,22829.0,100
2022-10-02 18:00:00,ES,25150.0,100
2022-10-02 18:00:00,PT,5328.0,100
2022-10-02 19:00:00,ES,25301.0,100
2022-10-02 19:00:00,PT,5499.8,100
2022-10-02 20:00:00,ES,23737.0,100
2022-10-02 20:00:00,PT,5247.8,100
2022-10-02 21:00:00,ES,22345.0,100
2022-10-02 21:00:00,PT,5049.3,100
2022-10-02 22:00:00,PT,4711.1,100
2022-10-02 22:00:00,ES,20998.0,100
2022-10-02 23:00:00,PT,4465.3,100
2022-10-02 23:00:00,ES,19906.0,100
2022-10-03 00:00:00,ES,19233.0,100
2022-10-03 00:00:00,PT,4244.1,100
2022-10-03 01:00:00,ES,19040.0,100
2022-10-03 01:00:00,PT,4117.0,100
2022-10-03 02:00:00,PT,4061.0,100
2022-10-03 02:00:00,ES,19228.0,100
2022-10-03 03:00:00,ES,19867.0,100
2022-10-03 03:00:00,PT,4028.5,100
2022-10-03 04:00:00,ES,22328.0,100
2022-10-03 04:00:00,PT,4079.3,100
2022-10-03 05:00:00,PT,4431.5,100
2022-10-03 05:00:00,ES,25705.0,100
2022-10-03 06:00:00,PT,4951.3,100
2022-10-03 06:00:00,ES,27622.0,100
2022-10-03 07:00:00,PT,5668.2,100
2022-10-03 07:00:00,ES,27918.0,100
2022-10-03 08:00:00,PT,5945.9,100
2022-10-03 08:00:00,ES,27926.0,100
2022-10-03 09:00:00,ES,28023.0,100
2022-10-03 09:00:00,PT,5970.8,100
2022-10-03 10:00:00,PT,6097.5,100
2022-10-03 10:00:00,ES,28416.0,100
2022-10-03 11:00:00,ES,28808.0,100
2022-10-03 11:00:00,PT,6114.9,100
2022-10-03 12:00:00,PT,6068.1,100
2022-10-03 12:00:00,ES,28261.0,100
2022-10-03 13:00:00,ES,27761.0,100
2022-10-03 13:00:00,PT,6282.1,100
2022-10-03 14:00:00,PT,6290.0,100
2022-10-03 14:00:00,ES,27689.0,100
2022-10-03 15:00:00,ES,27757.0,100
2022-10-03 15:00:00,PT,6240.2,100
2022-10-03 16:00:00,ES,27706.0,100
2022-10-03 16:00:00,PT,6092.1,100
2022-10-03 17:00:00,PT,6142.3,100
2022-10-03 17:00:00,ES,28271.0,100
2022-10-03 18:00:00,ES,30293.0,100
2022-10-03 18:00:00,PT,6620.6,100
2022-10-03 19:00:00,PT,6591.7,100
2022-10-03 19:00:00,ES,29510.0,100
2022-10-03 20:00:00,PT,6149.9,100
2022-10-03 20:00:00,ES,26496.0,100
2022-10-03 21:00:00,PT,5748.2,100
2022-10-03 21:00:00,ES,24064.0,100
2022-10-03 22:00:00,ES,22898.0,100
2022-10-03 22:00:00,PT,5264.8,100
2022-10-03 23:00:00,ES,21911.0,100
2022-10-03 23:00:00,PT,4928.2,100
2022-10-04 00:00:00,ES,21228.0,100
2022-10-04 00:00:00,PT,4657.8,100
2022-10-04 01:00:00,ES,20785.0,100
2022-10-04 01:00:00,PT,4530.8,100
2022-10-04 02:00:00,ES,20899.0,100
2022-10-04 02:00:00,PT,4467.5,100
2022-10-04 03:00:00,ES,21338.0,100
2022-10-04 03:00:00,PT,4374.4,100
2022-10-04 04:00:00,PT,4405.4,100
2022-10-04 04:00:00,ES,23618.0,100
2022-10-04 05:00:00,PT,4704.7,100
2022-10-04 05:00:00,ES,26788.0,100
2022-10-04 06:00:00,ES,27991.0,100
2022-10-04 06:00:00,PT,5207.0,100
2022-10-04 07:00:00,ES,28495.0,100
2022-10-04 07:00:00,PT,5885.2,100
2022-10-04 08:00:00,ES,28680.0,100
2022-10-04 08:00:00,PT,6127.5,100
2022-10-04 09:00:00,ES,28757.0,100
2022-10-04 09:00:00,PT,6120.5,100
2022-10-04 10:00:00,ES,29196.0,100
2022-10-04 10:00:00,PT,6235.7,100
2022-10-04 11:00:00,ES,29349.0,100
2022-10-04 11:00:00,PT,6143.0,100
2022-10-04 12:00:00,ES,28742.0,100
2022-10-04 12:00:00,PT,6116.7,100
2022-10-04 13:00:00,ES,28305.0,100
2022-10-04 13:00:00,PT,6303.0,100
2022-10-04 14:00:00,ES,28131.0,100
2022-10-04 14:00:00,PT,6343.8,100
2022-10-04 15:00:00,ES,28276.0,100
2022-10-04 15:00:00,PT,6332.5,100
2022-10-04 16:00:00,ES,28256.0,100
2022-10-04 16:00:00,PT,6223.3,100
2022-10-04 17:00:00,ES,28563.0,100
2022-10-04 17:00:00,PT,6190.9,100
2022-10-04 18:00:00,ES,30452.0,100
2022-10-04 18:00:00,PT,6640.0,100
2022-10-04 19:00:00,ES,29491.0,100
2022-10-04 19:00:00,PT,6615.1,100
2022-10-04 20:00:00,PT,6081.2,100
2022-10-04 20:00:00,ES,26569.0,100
2022-10-04 21:00:00,PT,5624.6,100
2022-10-04 21:00:00,ES,24291.0,100
2022-10-04 22:00:00,PT,5226.9,100
2022-10-04 22:00:00,ES,23027.0,100
2022-10-04 23:00:00,PT,4853.9,100
2022-10-04 23:00:00,ES,21972.0,100
2022-10-05 00:00:00,ES,21271.0,100
2022-10-05 00:00:00,PT,4620.3,100
2022-10-05 01:00:00,ES,20943.0,100
2022-10-05 01:00:00,PT,4460.5,100
2022-10-05 02:00:00,PT,4359.7,100
2022-10-05 02:00:00,ES,20872.0,100
2022-10-05 03:00:00,PT,4303.6,100
2022-10-05 03:00:00,ES,21458.0,100
2022-10-05 04:00:00,PT,4289.6,100
2022-10-05 04:00:00,ES,23640.0,100
2022-10-05 05:00:00,ES,26897.0,100
2022-10-05 05:00:00,PT,4301.1,100
2022-10-05 06:00:00,PT,4338.9,100
2022-10-05 06:00:00,ES,27998.0,100
2022-10-05 07:00:00,PT,4645.0,100
2022-10-05 07:00:00,ES,28422.0,100
2022-10-05 08:00:00,ES,28582.0,100
2022-10-05 08:00:00,PT,4910.5,100
2022-10-05 09:00:00,PT,5108.0,100
2022-10-05 09:00:00,ES,28787.0,100
2022-10-05 10:00:00,PT,5307.8,100
2022-10-05 10:00:00,ES,29075.0,100
2022-10-05 11:00:00,PT,5395.5,100
2022-10-05 11:00:00,ES,29186.0,100
2022-10-05 12:00:00,PT,5221.0,100
2022-10-05 12:00:00,ES,28907.0,100
2022-10-05 13:00:00,ES,28281.0,100
2022-10-05 13:00:00,PT,5088.5,100
2022-10-05 14:00:00,ES,28151.0,100
2022-10-05 14:00:00,PT,5026.5,100
2022-10-05 15:00:00,ES,28163.0,100
2022-10-05 15:00:00,PT,5023.2,100
2022-10-05 16:00:00,PT,5117.5,100
2022-10-05 16:00:00,ES,27986.0,100
2022-10-05 17:00:00,PT,5260.9,100
2022-10-05 17:00:00,ES,28459.0,100
2022-10-05 18:00:00,PT,5887.8,100
2022-10-05 18:00:00,ES,30390.0,100
2022-10-05 19:00:00,ES,29365.0,100
2022-10-05 19:00:00,PT,5878.2,100
2022-10-05 20:00:00,ES,26500.0,100
2022-10-05 20:00:00,PT,5580.1,100
2022-10-05 21:00:00,PT,5272.5,100
2022-10-05 21:00:00,ES,24304.0,100
2022-10-05 22:00:00,ES,23315.0,100
2022-10-05 22:00:00,PT,4914.5,100
2022-10-05 23:00:00,PT,4656.0,100
2022-10-05 23:00:00,ES,22312.0,100
2022-10-06 00:00:00,PT,4478.0,100
2022-10-06 00:00:00,ES,21582.0,100
2022-10-06 01:00:00,ES,21341.0,100
2022-10-06 01:00:00,PT,4338.5,100
2022-10-06 02:00:00,ES,21413.0,100
2022-10-06 02:00:00,PT,4289.7,100
2022-10-06 03:00:00,ES,21878.0,100
2022-10-06 03:00:00,PT,4293.9,100
2022-10-06 04:00:00,PT,4386.5,100
2022-10-06 04:00:00,ES,24153.0,100
2022-10-06 05:00:00,ES,27154.0,100
2022-10-06 05:00:00,PT,4742.9,100
2022-10-06 06:00:00,ES,28394.0,100
2022-10-06 06:00:00,PT,5276.6,100
2022-10-06 07:00:00,PT,5994.6,100
2022-10-06 07:00:00,ES,28790.0,100
